user_id,register_time,recently_logged,number_of_classes_join,number_of_classes_out,learn_time,school
用户44251,2020/6/18 9:49,2020/6/18 9:49,0,0,41.25,
用户44250,2020/6/18 9:47,2020/6/18 9:48,0,0,0,
用户44249,2020/6/18 9:43,2020/6/18 9:43,0,0,16.22,
用户44248,2020/6/18 9:09,2020/6/18 9:09,0,0,0,
用户44247,2020/6/18 7:41,2020/6/18 8:15,0,0,1.8,
用户44246,2020/6/17 22:36,2020/6/17 22:36,0,0,48.92,
用户44245,2020/6/17 22:16,2020/6/17 22:16,0,0,0.18,
用户44244,2020/6/17 20:59,2020/6/17 21:34,0,0,0,
用户44243,2020/6/17 20:33,2020/6/17 20:34,0,0,297.47,
用户44242,2020/6/17 18:13,2020/6/17 18:13,0,0,0,
用户44241,2020/6/17 17:49,2020/6/17 17:49,0,0,0,
用户44240,2020/6/17 17:25,--,1,0,"1,667.28",
用户44239,2020/6/17 17:24,--,1,0,"2,109.75",
用户44238,2020/6/17 16:48,2020/6/17 16:48,0,0,263.2,
用户44235,2020/6/17 16:39,--,1,0,0,
用户44237,2020/6/17 16:39,--,1,0,"10,348.62",
用户44232,2020/6/17 16:39,--,1,0,"9,054.72",
用户44233,2020/6/17 16:39,--,1,0,"11,073.58",
用户44234,2020/6/17 16:39,--,1,0,"4,479.35",
用户44231,2020/6/17 16:16,2020/6/17 16:16,0,0,0.45,
用户44230,2020/6/17 14:08,2020/6/17 14:09,0,0,1.33,
用户44229,2020/6/17 14:00,2020/6/17 14:00,0,0,0,
用户44228,2020/6/17 12:02,2020/6/17 12:02,0,0,2.1,
用户44227,2020/6/17 11:43,2020/6/17 11:43,0,0,4.92,
用户44226,2020/6/17 10:41,2020/6/17 10:42,0,0,0.45,
用户44225,2020/6/17 10:29,2020/6/17 10:30,0,0,0,
用户44224,2020/6/17 10:26,2020/6/17 10:27,0,0,0.98,
用户44223,2020/6/17 10:13,2020/6/17 10:14,0,0,4.07,
用户44222,2020/6/17 10:05,2020/6/17 10:05,0,0,0,
用户44221,2020/6/17 9:32,2020/6/17 9:32,0,0,109.47,
用户44220,2020/6/17 9:26,2020/6/17 9:34,0,0,10.23,
用户44219,2020/6/17 9:23,2020/6/17 9:23,0,0,0.55,
用户44218,2020/6/17 9:07,2020/6/17 9:07,0,0,0,
用户44217,2020/6/17 8:54,2020/6/17 8:54,0,0,0,
用户44216,2020/6/17 8:31,2020/6/17 8:31,0,0,0.32,
用户44215,2020/6/16 21:08,2020/6/16 21:09,0,0,0.17,
用户44214,2020/6/16 19:24,2020/6/16 19:24,0,0,22.55,
用户44213,2020/6/16 19:20,--,0,0,0,
用户44212,2020/6/16 18:32,2020/6/16 18:32,0,0,0,
用户44211,2020/6/16 17:43,2020/6/16 17:44,0,0,1.7,
用户44210,2020/6/16 17:43,2020/6/16 17:43,0,0,4.83,
用户44209,2020/6/16 17:35,2020/6/16 17:48,0,0,0.2,
用户44208,2020/6/16 17:12,2020/6/16 17:13,0,0,14.75,
用户44207,2020/6/16 17:09,2020/6/16 18:12,0,0,506.37,
用户44206,2020/6/16 16:48,2020/6/16 16:49,0,0,0.1,
用户44205,2020/6/16 16:28,2020/6/16 16:28,0,0,11.87,
用户44204,2020/6/16 16:26,2020/6/17 17:18,0,0,170.88,
用户44203,2020/6/16 15:59,2020/6/16 15:59,0,0,232.87,
用户44202,2020/6/16 15:39,2020/6/16 15:39,0,0,0,
用户44201,2020/6/16 15:36,2020/6/16 15:36,0,0,17.92,
用户44200,2020/6/16 15:34,2020/6/16 15:54,0,0,0,
用户44199,2020/6/16 15:28,2020/6/16 15:29,0,0,0.92,
用户44198,2020/6/16 15:28,2020/6/17 21:04,1,0,"1,719.77",
用户44197,2020/6/16 15:21,2020/6/16 15:21,1,0,0,
用户44196,2020/6/16 14:47,2020/6/16 14:48,0,0,0,
用户44195,2020/6/16 14:28,2020/6/16 14:28,0,0,0,
用户44194,2020/6/16 10:44,2020/6/16 10:45,0,0,0.22,
用户44193,2020/6/16 10:26,2020/6/16 10:27,0,0,0.53,
用户44190,2020/6/16 10:26,2020/6/16 10:50,1,0,161.4,
用户44192,2020/6/16 10:26,2020/6/16 10:39,1,0,"2,108.80",
用户44187,2020/6/16 10:26,2020/6/17 21:59,1,0,"6,746.15",
用户44189,2020/6/16 10:26,--,1,0,"8,608.28",
用户44185,2020/6/16 10:20,2020/6/16 10:20,0,0,0,
用户44184,2020/6/16 10:02,2020/6/17 21:58,0,0,489.55,
用户44183,2020/6/16 9:53,2020/6/16 10:51,0,0,0,
用户44182,2020/6/16 9:51,2020/6/16 9:51,0,0,12.95,
用户44181,2020/6/16 9:51,2020/6/16 9:51,0,0,86.6,
用户44179,2020/6/16 9:29,2020/6/16 9:54,2,1,27.32,
用户44178,2020/6/16 9:29,2020/6/16 9:29,0,0,2.2,
用户44177,2020/6/16 8:16,2020/6/16 8:16,0,0,0,
用户44176,2020/6/15 23:35,--,0,0,0,
用户44175,2020/6/15 23:23,2020/6/15 23:24,0,0,0,
用户44174,2020/6/15 22:06,2020/6/15 22:06,0,0,1.92,
